timestamp,consent,a_1_student_id,a_2_gender,a_3_class_group,b_1_i_enjoyed_the_course,b_2_classes_started_and_ended_on_time,b_3_participative_learning_environment,b_4_subject_content_delivered_according_to_course_outline_and_my_expectations,b_5_topics_were_clear_and_logically_developed,b_6_developed_my_oral_and_writing_skills,b_7_developed_my_reflective_and_critical_reasoning_skills,b_8_the_assessment_methods_assisted_me_to_learn,b_9_received_relevant_feedback,b_10_read_recommended_readings_and_notes,b_11_used_the_elearning_material_posted,c_1_principles_of_business_intelligence_and_the_dataops_philosophy,c_2_data_engineering_and_data_analytics,c_3_dashboarding_for_business-facing_and_customer-facing_analytics,c_4_regression_and_classification,c_5_clustering_and_association_rule_mining,c_6_serving_ml_models_through_a_restish_api_using_flask_in_python,c_7_time-series_analysis_time-series_forecasting_and_neural_networks,c_8_natural_language_processing,d_1_python_as_a_programming_language,d_2_vs_code_and_pycharm_for_coding_in_python,d_3_r_as_a_programming_language,d_4_r_studio_for_coding_in_r,d_5_jupyter_notebook_for_documenting_data_analytics_and_predictive_modelling_workflows,d_6_git_and_github,d_7_docker_for_containerization,d_8_power_bi_for_data_visualization,d_9_dbeaver_and_datagrip_for_data_management,d_10_postman_for_api_testing,d_11_flask_and_gunicorn_for_serving_ml_models,d_12_joblib_for_serialization_and_deserialization_of_models_as_pickle_files,d_13_slack_for_casual_communication_with_a_data_team,e_1_group_work,e_2_quizzes_at_the_end_of_each_module,e_3_lab_manuals,e_4_required_lab_work_submissions_at_the_end_of_each_module,e_5_labs_that_require_you_to_use_git_to_work_in_a_team_as_opposed_to_working_alone,e_6_labs_that_have_hidden_bonus_marks_or_advanced_level_submissions_for_extra_marks_in_addition_to_the_baseline,e_7_supplementary_videos_to_watch_as_an_additional_explanation_of_a_topic,e_8_supplementary_content_to_read,e_9_lecture_slides_used_during_the_class,e_10_lecture_notes_on_some_of_the_lecture_slides,e_11_the_quality_of_the_lectures_given,e_12_the_separation_of_theory_during_virtual_classes_and_practicals_during_in-person_classes,f_1_In_your_opinion_which_topics_(if_any)_should_be_added_to_the_Business_Intelligence_I_and_II_curriculum,f_2_In_your_opinion_which_topics_(if_any)_should_be_removed_from_the_Business_Intelligence_I_and_II_curriculum,f_3_Write_at_least_two_things_you_liked_about_the_teaching_and_learning_in_this_course,f_4_Write_at_least_one_recommendation_to_improve_the_teaching_and_learning_in_this_course_(for_future_classes),average_course_evaluation_rating,sentiment,average_level_of_learning_attained_rating,average_level_of_skills_and_competencies_rating,average_pedagogical_strategy_effectiveness_rating,absenteeism_percentage
06-11-25 8:26,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",11,Female,Group A,3,5,2,5,5,5,4,4,4,4,4,3,3,3,4,5,4,2,1,3,3,3,3,3,4,2,2,2,4,3,3,1,4,5,3,3,3,3,1,1,5,5,3,3,None,None,"Learning kmeans
Learning APIs",Please have make up CATS because things genuinely happen and it's so unfair to the affected parties,4.0909,neutral,3.125,2.7692,3.25,22.73
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",12,Male,Group A,4,5,5,5,5,3,5,5,5,4,5,4,5,4,5,5,5,3,3,5,4,3,3,4,4,2,4,3,4,5,3,1,5,5,5,5,4,4,2,2,4,4,2,3,"None, the current ones are sufficient",None,"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning","Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",4.6364,positive,4.25,3.4615,3.75,9.09
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",13,Male,Group A,3,5,5,5,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,3,3,4,5,2,3,3,3,4,4,4,4,5,4,4,4,4,5,5,3,4,4,5,Artificial Intelligence,Dashboarding,The mode of content delivery and assessment,More quizzes,4.3636,neutral,4,3.6154,4.25,22.73
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",14,Male,Group A,4,5,3,3,3,3,4,3,3,3,3,5,2,2,3,2,3,3,3,3,5,2,2,4,4,2,3,1,1,3,1,5,3,4,3,3,3,3,3,4,4,3,3,3,"In my opinion,iI think we should be diving more on real word topics in time series forecasting,for example explaining the financial market(This is for BI 2)
Automation
As there is a shift in the tech world with AI,in my opinion we should be taught jow to maximisze our skills using AI","In my opinion, Relational databases","I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves","More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",3.3636,negative,2.875,2.7692,3.25,4.55
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",15,Male,Group A,2,4,4,4,4,3,2,4,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,4,4,4,4,3,2,2,4,4,3,4,A project with a real business scenario through all modules,,The merging between practical and theoretical knowledge,A project with a real business scenario through out the modules to help understand business intelligence real life activities,3.2727,negative,3.125,2.3077,3.4167,18.18
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",16,Female,Group A,4,5,3,4,4,3,4,4,4,4,3,2,2,2,3,4,4,4,3,3,3,1,1,3,3,2,2,2,2,2,2,2,1,3,2,2,1,1,4,3,5,5,5,2,Not sure,None,The content delivery and overall flow of content,Reducing the number of lab submissions made throughout the semester,3.8182,negative,3,2.1538,2.8333,13.64
06-11-25 8:27,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",17,Male,Group B,2,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,2,4,3,2,2,4,5,1,5,1,1,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,None,None,Very Practical,"Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",3.4545,negative,3.25,2.7692,2.9167,20
06-11-25 8:28,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",18,Male,Group A,3,5,5,5,5,4,5,5,4,4,5,3,2,2,3,4,4,2,1,4,4,2,1,4,5,3,4,2,3,3,3,3,4,4,5,4,4,5,5,5,2,3,5,3,I do not have a topic to suggest or add upon the already existing ones,"None, I believe all topics are required in the curriculum","I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides",I would like more analogies used when teaching.,4.5455,neutral,2.625,3.1538,4.0833,4.55
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",19,Male,Group A,5,5,5,5,5,5,5,4,5,3,5,5,4,5,3,4,3,4,3,4,5,2,3,2,5,4,4,3,5,3,3,5,5,5,5,5,5,4,5,5,5,5,4,5,N/A,N/A,I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class,Reduced number of slides,4.7273,positive,3.875,3.6923,4.8333,9.09
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",20,Female,Group A,5,5,5,4,4,3,3,4,4,5,5,3,3,4,3,3,5,5,3,4,4,2,2,3,5,4,5,3,3,4,3,4,2,3,5,4,3,3,4,3,5,5,5,4,Big Data Fundamentals and analyics,,"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first",Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.,4.2727,neutral,3.625,3.5385,3.8333,27.27
06-11-25 8:29,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",21,Female,Group A,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,5,5,3,3,5,5,5,5,3,3,5,5,3,3,4,3,5,5,5,5,5,5,The mathematics included in BI2 especially in time series forecasting,None,The method of explaining concepts,No recommendations,4.9091,positive,4.5,4.1538,4.4167,0
06-11-25 8:31,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",22,Male,Group A,3,5,4,3,3,4,4,3,3,4,5,3,3,2,2,3,2,2,1,3,3,1,1,4,4,2,1,1,2,1,2,2,4,4,3,4,3,3,4,4,5,3,4,3,n/a,n/a,"1.How practical the module was 
2.The group work helped me improve my collaboration skills",n/a,3.7273,negative,2.25,2.0769,3.6667,31.82
06-11-25 8:31,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",23,Male,Group A,4,5,4,5,5,3,4,5,2,5,5,5,4,5,4,5,5,3,2,5,4,2,2,5,5,3,4,3,2,5,5,4,5,3,5,5,4,4,4,3,4,5,5,4,"Generative AI/Adversarial networks (GANs), Computer Vision, and more emphasis on Neural Networks",Clustering and Association Rule Mining,"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes.","There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",4.2727,neutral,4.125,3.7692,4.25,9.09
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",24,Male,Group A,4,5,4,5,5,3,3,4,5,5,4,3,3,5,4,4,3,4,1,4,4,4,4,3,5,3,4,3,3,3,3,2,4,5,4,4,4,4,1,1,4,5,5,5,none because the topics that were covered met my expectations and it was well outlined by the course outline and the lecturer,none,"i liked learning data analytics and visualizations, clustering and association rule mapping, also the practical implementation of these two modules. i also liked dashboarding and customer facing analytics","to reduce the number of slides, they are very many. some modules like regression had 300 slides which is a lot to read and master all the content in it",4.2727,neutral,3.375,3.4615,3.8333,9.09
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",25,Female,Group A,4,5,4,5,3,3,4,4,3,2,1,5,5,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,3,3,4,3,4,3,3,3,4,None,None,The journals and quizzes,Doing physical cat 1 and cat 2 so that we don't have a lot to revise for the only cat we have,3.4545,negative,3.625,3,3.6667,13.64
06-11-25 8:32,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",26,Male,Group A,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,3,4,3,3,4,4,3,3,3,5,4,4,3,3,3,3,3,4,4,4,4,5,5,4,4,5,5,5,5,Continuous intelligence and Data collaboration,None,"1. The variety of sodtware we learnt to use through practice.
2. The amount of practice enabled through various labs.",The slides could be more organised to make it easier to go through,4.8182,positive,3.625,3.4615,4.5,27.27
06-11-25 8:34,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",27,Female,Group A,1,5,5,4,5,1,1,4,4,4,5,3,3,4,3,3,1,4,1,2,4,1,1,4,5,4,4,1,1,2,3,4,4,5,4,4,4,3,3,4,4,4,5,5,none,none,"I liked the practical labs; they encourgaed critical thinking and problem-solving.
I appreciated the strict deadlines because they encouraged discipline and planning ahead
I liked the reflective journals because they allowed me to recall and be honest with my understanding in the topics",I have none,3.5455,negative,2.75,2.7692,4.0833,9.09
06-11-25 8:34,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",28,Female,Group A,3,5,5,5,5,2,3,4,5,2,4,3,2,5,3,5,2,4,3,4,3,1,1,5,5,3,3,2,1,1,2,3,2,3,5,4,3,3,4,4,5,5,3,5,None,None,"How practical it is in daily life and how it has expanded my knowledge especially on Investments and prediction analysis which is a field I want to pursue in my career. Moreover, the fact that there was material to refer to is a positive aspect of the lab which made doing practical assignments more manageable",The content is quite vast... it probably should start in 3rd year because retaining all this knowledge in the span of 2 months... i.e BI 1 and BI 2 is a bit difficult and leads me to cram the content most of the time rather than try and understand it,3.9091,neutral,3.375,2.6154,3.8333,13.64
06-11-25 8:34,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",29,Female,Group A,4,5,5,5,5,3,3,4,5,5,5,5,4,4,4,4,3,3,1,4,4,4,4,4,4,4,3,4,3,3,2,5,4,5,5,3,4,2,3,2,3,3,5,3,Continous intelligence,,"The lecturer was very detail oriented and had immense knowledge on all the topics being covered. 
I enjoyed doing the labs since they gave me a better understanding of all the topics and how to work through all the applications and platforms.","The lecture notes were very long. 
Reading for the CAT was very hard since all the concepts from business intelligence 1 and business intelligence 2 were put together

",4.4545,neutral,3.5,3.6923,3.5,9.09
06-11-25 8:34,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",30,Female,Group A,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,4,2,5,5,4,4,5,5,3,4,3,4,4,5,5,4,5,5,5,5,5,4,4,5,4,5,5,I think that neural networks should be a topic on its own to be explored more in-depth.,,"The course is very well structured and follows a logical flow from the BI 1 and BI 2. All steps outlined in KDD are covered throughout the course, and I have learnt a lot about data pipeline, pre-processing, training and deploying models. I think that every topic was explained in-depth, which helped me gain understanding about concepts that I would not have been able to achieve if I worked independently. I also enjoyed the lab tasks as they helped me understand the concepts more practically and enhanced the way I approached different problems. The lecturer is also very organised, in terms of both notes and assigning coursework, and knowledgeable, which I think enhanced the learning experience overall.","In my opinion, more labs should be assigned to individuals (or slightly smaller groups) if possible. I think this will help learners in future classes be a little more independent and learn more from the labs.",4.9091,positive,4.25,4.3077,4.6667,9.09
06-11-25 8:35,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",31,Female,Group A,5,5,3,5,5,3,3,5,5,5,5,3,5,4,5,5,5,5,5,3,5,1,2,4,4,4,3,1,2,4,4,3,3,4,3,3,5,3,2,1,5,5,5,5,None,,"The modules made sense and there was a logical flow of ideas. I most especially enjoyed the Module on TIme series, Association Rule Mining and Natural Language Processing.","In my opinion, when the lecturer is teaching he makes everything sound very important(i dont know if this makes sense, also not necessarily a negative thing) .I often end the class feeling overwhelmed and drained. I am not sure on what recommendations to give on this.

In addition, I was having a hard time doing the lab work. I suggest that maybe more explanations during class on how to do the lab work and have an example.",4.4545,neutral,4.625,3.0769,3.6667,4.55
06-11-25 8:36,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",32,Female,Group A,4,5,5,4,5,4,5,4,5,4,5,5,5,3,3,4,3,5,4,3,5,4,3,5,4,4,3,5,4,4,4,3,4,5,5,5,4,4,3,4,5,5,5,4,none,all the topics are relevant,it was engaging with the use of labs,none,4.5455,neutral,4,3.9231,4.4167,9.09
06-11-25 8:36,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",33,Male,Group A,4,5,4,5,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,2,2,4,3,3,3,4,3,2,2,4,4,4,4,4,4,3,2,4,4,4,4,None,None,"1. The in depth lectures where the theory lessons translated into practical examples which were demonstrated through the labs.
2. Writing the reflective journals after each module helped solidify the concepts learnt",Implementation of more catch up sessions where the lecturer guides us more through the labs,4.0909,neutral,3.75,3,3.75,22.73
06-11-25 8:36,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",34,Male,Group A,5,5,4,4,4,5,5,4,5,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,4,5,5,4,5,5,4,5,5,4,4,5,5,5,5,4,4,THe R stack,none,"The labs and projects really help me grasp the content
The lecturer is very patient and understanding",More Labs,4.5455,neutral,4.125,4.3846,4.5833,9.09
06-11-25 8:37,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",35,Female,Group A,5,5,5,5,5,3,4,5,5,5,5,4,3,5,4,5,3,4,3,3,4,4,4,4,4,4,4,3,2,3,4,2,4,5,5,4,4,5,5,5,5,5,5,5,None,,"1. I liked the supplementary videos in between the lecture slides that assisted me gain better understanding of the concepts.
2. The additional notes in the lecture slides helped explain the concepts better.
3. The slides were comprehensive.",Cats to be uniform across all groups,4.7273,positive,3.875,3.4615,4.75,4.55
06-11-25 8:38,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",36,Male,Group A,5,5,4,5,5,4,5,5,5,3,3,5,5,5,4,3,3,5,3,3,5,4,5,5,5,4,5,5,5,5,2,3,4,5,5,5,5,5,3,2,5,5,5,5,Data mining,,"1. The seamless flow between the different modules acted as building blocks for better understanding of the next module
2. The technical integration to every module learnt","If the school could provide hardware with better specs , for the unit is labour intensive on the machinery",4.4545,neutral,4.125,4.3077,4.5,9.09
06-11-25 8:39,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",37,Female,Group A,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,None,None,None,None,4,neutral,4,4,4,18.18
06-11-25 8:39,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",38,Male,Group A,4,5,5,5,5,4,4,5,5,4,4,4,5,3,4,4,5,2,1,3,5,4,4,4,4,5,2,3,1,2,1,1,5,5,5,3,3,2,3,3,4,5,5,5,Not sure,,"How applicable it is in real life
Learning new things","Before getting into BI, maybe a short course on frontend and backend since BI is very technical",4.5455,neutral,3.5,3,4,18.18
06-11-25 10:21,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",39,Male,Group C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,3,3,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,"The history of Development apps for example like DataGrip. Why they originate and maintained from Europe - eg a Czech company. Education on Data theft and privacy issues, and The impacts on EU and US data policies.",,"Hands on coding practice, Writing module reflections, Watching Assignments, Comprehensive Assessment.","Giving more and more assignments, Inviting an Industry professional from a well known company whose shares are traded on the Nairobi Securities Exchange (NSE) in Kenya to give a talk.",5,positive,4.625,4.3846,5,39.13
06-11-25 11:22,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",40,Female,Group C,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,4,4,4,3,3,3,5,5,5,4,5,4,4,4,5,5,5,5,5,5,4,3,5,5,5,5,I have no opinion/topic suggestion.,I have no opinion/topic suggestion.,"The lecturer is nice and well-organized, he explains concepts well and is open to student opinions.
In Business Intelligence II, I appreciated how the concept of quizzes, group work labs where everyone has to commit something and the reflective journals really enable one to think deeply about what you have learnt thus content retention.",Early preparation that the labs in this unit require applications that are storage consuming.,5,positive,4.375,4.0769,4.75,8.7
06-11-25 11:55,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",41,Male,Group C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None at the moment,none at the moment,The labs and the quizzes.,More lab group work.,5,positive,5,5,5,8.7
06-11-25 11:55,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",42,Female,Group C,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,-,-,Group works and quizzes,-,4.2727,neutral,4.875,4.3077,5,26.09
06-11-25 11:56,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",43,Female,Group C,4,5,3,3,4,3,4,4,5,5,5,3,3,3,3,3,4,3,5,4,5,2,1,3,4,2,4,2,5,5,2,5,3,4,4,4,4,4,5,1,4,4,4,4,None,None,"It was thorough, and the course is interesting","Less slides, 800 slides for one unit(BI 1) is overwhelming",4.0909,neutral,3.375,3.3846,3.75,13.04
06-11-25 11:56,"I CONSENT to my feedback being analyzed and used for educational and research purposes, provided that all data is fully anonymized.",44,Male,Group C,5,5,5,5,5,4,4,4,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,3,3,4,4,N/A,N/A,group and evaluation methords of teaching,The notes are abit too many,4.2727,neutral,4.125,4,4.25,39.39
